Symbol,Company Name,Industry,Mkt Cap,Prior Close,P/E Ratio (TTM)*,Revenue Growth CFY*,Return on Equity,EPS Growth CFY*,Dividend Yield
HONE,HarborOne Bancorp Inc,Banking Services,$696.010M,14.15,13.99x,12.82%,7.53%,-8.77%,1.98%
HBRIY,Harbour Energy PLC (ADR),Oil & Gas,$3.287B,3.88,3.61x,0.00%,214.80%,0.00%,5.46%
HOG,Harley-Davidson Inc,Automobiles & Auto Parts,$6.099B,41.72,8.65x,8.50%,27.87%,13.37%,1.51%
HLIT,Harmonic Inc,Communications & Networking,$1.397B,13.25,36.59x,22.27%,14.59%,52.94%,0.00%
HRMY,Harmony Biosciences Holdings Inc,Pharmaceuticals,$3.392B,57.19,22.40x,43.13%,62.78%,368.97%,0.00%
HMY,Harmony Gold Mining Co. (ADR),Metals & Mining,$2.101B,3.40,--,0.00%,-3.44%,0.00%,1.72%
HROW,Harrow Health Inc,Pharmaceuticals,$372.830M,13.60,--,24.19%,-253.39%,4.35%,0.00%
HSC,Harsco Corp,Professional & Commercial Services  ,$489.566M,6.16,--,1.86%,-18.25%,-94.20%,0.00%
HIG,Hartford Financial Services Group Inc,Insurance,$24.182B,76.02,13.24x,0.37%,12.83%,16.91%,2.24%
HAS,"Hasbro, Inc.",Leisure Products,$7.969B,57.70,19.34x,-4.40%,13.83%,-9.94%,4.85%
HCP,HashiCorp Inc,Software & IT Services,$2.214B,27.02,--,44.71%,-87.80%,33.64%,0.00%
HVT,"Haverty Furniture Companies, Inc.",Other Specialty Retailers,$456.622M,30.72,5.96x,2.10%,31.27%,2.04%,3.65%
HE,"Hawaiian Electric Industries, Inc.",Electrical Utilities & IPPs,$4.514B,41.42,19.06x,16.51%,10.48%,-4.89%,3.38%
HA,"Hawaiian Holdings, Inc.",Passenger Transportation Services,$548.555M,10.67,--,65.63%,-57.94%,43.71%,0.00%
HWKN,"Hawkins, Inc.",Chemicals,$827.518M,39.37,14.16x,15.54%,18.99%,14.75%,1.42%
HAYN,"Haynes International, Inc.",Metals & Mining,$598.003M,47.76,13.23x,16.64%,12.54%,19.05%,1.84%
HAYW,Hayward Holdings Inc,"Machinery, Equipment & Components",$2.007B,9.50,9.92x,0.00%,18.18%,0.00%,0.00%
HBT,HBT Financial Inc,Banking Services,$562.984M,19.58,9.97x,12.50%,15.40%,1.49%,3.27%
HCA,HCA Healthcare Inc,Healthcare Providers & Services,$68.672B,242.90,13.72x,2.75%,0.00%,-2.74%,0.92%
HCI,HCI Group Inc,Insurance,$325.323M,37.15,--,25.29%,-24.11%,0.00%,4.31%
HDB,HDFC Bank Limited (ADR),Banking Services,$97.519B,69.31,27.60x,-3.07%,16.55%,5.45%,0.84%
HCAT,Health Catalyst Inc,Healthcare Equipment & Supplies,$585.836M,10.70,--,13.82%,-30.45%,24.44%,0.00%
HR,Healthcare Realty Trust Inc,Residential & Commercial REITs,$7.105B,18.67,38.93x,20.29%,1.72%,-50.00%,6.64%
HCAR,Healthcare Services Acquisition Corp,Holding Companies,$334.346M,10.10,27.91x,0.00%,4.86%,0.00%,0.00%
HCSG,"Healthcare Services Group, Inc.",Professional & Commercial Services  ,$912.764M,12.32,44.51x,2.68%,4.56%,-44.26%,6.98%
HQY,Healthequity Inc,Software & IT Services,$5.228B,61.77,--,13.21%,-3.13%,0.00%,0.00%
PEAK,Healthpeak Properties Inc,Residential & Commercial REITs,$13.455B,25.03,26.55x,0.00%,7.83%,0.00%,4.79%
HSTM,"HealthStream, Inc.",Software & IT Services,$753.013M,24.63,81.63x,3.74%,2.75%,54.17%,0.00%
HTLD,"Heartland Express, Inc.",Freight & Logistics Services,$1.255B,15.90,9.07x,55.62%,17.87%,12.00%,0.50%
HTLF,Heartland Financial USA Inc,Banking Services,$1.941B,45.72,10.08x,4.90%,10.71%,-5.00%,2.45%
HL,Hecla Mining Company,Metals & Mining,$3.395B,5.60,--,-9.99%,-1.17%,-78.57%,0.40%
HEI,Heico Corp,Aerospace & Defense,$8.593B,157.63,61.88x,14.97%,14.32%,18.04%,0.13%
HSII,"Heidrick & Struggles International, Inc.",Professional & Commercial Services  ,$568.819M,28.64,7.70x,5.93%,21.45%,-6.03%,2.09%
HKHHY,Heineken Holding NV - ADR,Beverages,$22.340B,38.78,0.00x,0.00%,0.00%,0.00%,0.67%
HEINY,Heineken N.V. (ADR),Beverages,$54.478B,47.29,14.45x,0.00%,21.11%,0.00%,1.61%
HELE,Helen of Troy Limited,Household Goods,$2.333B,97.25,13.82x,-8.63%,12.81%,-25.65%,0.00%
HLIO,Helios Technologies Inc,"Machinery, Equipment & Components",$1.812B,55.66,17.39x,3.24%,14.51%,-5.88%,0.65%
HXBM,"Helix BioMedix, Inc.",Biotechnology & Medical Research,$1.293B,26.00,--,0.00%,-122.53%,0.00%,0.00%
HLX,Helix Energy Solutions Group Inc,Oil & Gas Related Equipment and Services,$1.029B,6.78,--,25.12%,-7.39%,-43.90%,0.00%
HLTOY,Hellenic Telecom Organization S.A. (ADR),Telecommunications Services,$6.540B,7.54,12.17x,0.00%,24.87%,0.00%,3.86%
MOMO,Hello Group Inc (ADR),Software & IT Services,$2.817B,8.92,--,-12.99%,-24.93%,-8.58%,0.00%
HP,"Helmerich & Payne, Inc.",Oil & Gas Related Equipment and Services,$5.064B,48.05,1026.49x,46.83%,0.18%,"4,210.00%",2.08%
HLDCY,Henderson Land Development Co Ltd - ADR,Real Estate Operations,$2.179B,3.40,0.00x,0.00%,0.00%,0.00%,6.74%
HENKY,Henkel AG & Co KGaA - ADR,Chemicals,$16.887B,16.25,0.00x,0.00%,0.00%,0.00%,6.53%
HCIC,Hennessy Capital Investment Corp V,Holding Companies,$346.725M,10.05,31.37x,0.00%,4.68%,0.00%,0.00%
HCVI,Hennessy Capital Investment Corp VI,Holding Companies,$336.157M,9.86,29.13x,0.00%,0.00%,0.00%,0.00%
HSIC,"Henry Schein, Inc.",Healthcare Equipment & Supplies,$10.981B,81.01,17.63x,1.83%,18.06%,5.97%,0.00%
HLF,Herbalife Nutrition Ltd,Food & Tobacco,$1.383B,14.13,4.65x,-10.97%,0.00%,-25.68%,0.00%
HRI,Herc Holdings Inc,Professional & Commercial Services  ,$3.776B,129.06,12.87x,31.44%,30.51%,52.26%,1.78%
HTGC,Hercules Capital Inc,Investment Banking & Investment Services,$1.722B,13.23,41.64x,0.89%,3.08%,11.63%,10.88%
HTBK,Heritage Commerce Corp.,Banking Services,$811.813M,13.37,13.65x,22.70%,9.96%,37.97%,3.89%
HFWA,Heritage Financial Corp,Banking Services,$1.088B,30.99,13.95x,13.98%,9.69%,-15.38%,2.71%
HCCI,"Heritage-Crystal Clean, Inc.",Professional & Commercial Services  ,$760.125M,31.44,9.87x,34.57%,20.79%,26.64%,0.00%
HRTX,Heron Therapeutics Inc,Biotechnology & Medical Research,$319.809M,2.69,--,20.99%,-306.88%,19.20%,0.00%
HT,Hersha Hospitality Trust,Residential & Commercial REITs,$354.850M,8.95,4.88x,38.97%,12.33%,0.00%,2.23%
HSY,Hershey Co,Food & Tobacco,$34.535B,234.98,36.01x,15.26%,56.46%,14.88%,1.76%
HTZ,Hertz Global Holdings Inc,Passenger Transportation Services,$7.135B,15.07,4.77x,0.00%,36.37%,0.00%,0.00%
HSKA,Heska Corp,Healthcare Equipment & Supplies,$664.933M,61.42,--,0.63%,-3.85%,"-1,345.45%",0.00%
HES,Hess Corp.,Oil & Gas,$43.253B,140.29,23.34x,37.52%,28.31%,247.49%,1.07%
HESM,Hess Midstream LP,Oil & Gas Related Equipment and Services,$1.284B,29.19,14.32x,0.00%,41.20%,0.00%,7.71%
HPE,Hewlett Packard Enterprise Co,"Computers, Phones & Household Electronics",$20.227B,15.78,24.30x,2.22%,4.36%,0.00%,3.04%
HXL,Hexcel Corporation,Aerospace & Defense,$4.962B,58.95,46.17x,17.41%,7.40%,348.15%,0.68%
DINO,HF Sinclair Corp,Oil & Gas,$10.107B,50.35,4.67x,102.09%,30.83%,886.84%,3.18%
HHLA,HH&L Acquisition Co,Holding Companies,$417.726M,10.09,42.82x,0.00%,3.11%,0.00%,0.00%
HIBB,Hibbett Inc,Other Specialty Retailers,$827.193M,64.99,8.18x,2.29%,33.36%,-13.40%,1.54%
HFRO,Highland Income Fund,Collective Investments ,$720.811M,10.59,4.41x,0.00%,16.16%,0.00%,8.66%
HPK,Highpeak Energy Inc,Oil & Gas Related Equipment and Services,$2.490B,22.00,12.91x,0.00%,23.80%,0.00%,0.45%
HIW,Highwoods Properties Inc,Residential & Commercial REITs,$2.927B,27.82,11.49x,7.50%,10.52%,-49.33%,7.19%
HKMPY,Hikma Pharmaceuticals Plc (ADR),Pharmaceuticals,$4.025B,36.55,0.00x,0.00%,0.00%,0.00%,3.01%
HI,"Hillenbrand, Inc.","Machinery, Equipment & Components",$2.914B,42.30,14.61x,5.54%,18.22%,2.29%,2.08%
HLVX,Hillevax Inc,Biotechnology & Medical Research,$477.834M,14.33,--,0.00%,-157.31%,0.00%,0.00%
HLMN,Hillman Solutions Corp,Other Specialty Retailers,$1.381B,7.10,334.59x,0.00%,0.36%,0.00%,0.00%
HBIA,Hills Bancorporation,Banking Services,$657.624M,71.01,15.74x,0.00%,8.86%,0.00%,0.00%
HTH,Hilltop Holdings Inc.,Banking Services,$1.913B,29.61,14.73x,9.28%,6.64%,-67.25%,2.03%
HGV,Hilton Grand Vacations Inc,Hotels & Entertainment Services,$4.541B,39.47,13.75x,64.02%,17.23%,74.16%,0.00%
HLT,Hilton Worldwide Holdings Inc,Hotels & Entertainment Services,$34.416B,127.25,33.06x,50.16%,0.00%,118.27%,0.47%
HIMX,"Himax Technologies, Inc. (ADR)",Semiconductors & Semiconductor Equipment ,$1.192B,6.84,2.87x,-24.57%,42.80%,-50.57%,18.27%
HIMS,Hims & Hers Health Inc,Healthcare Providers & Services,$1.348B,6.76,--,91.45%,-25.80%,34.00%,0.00%
HIFS,Hingham Institution for Savings,Banking Services,$600.440M,281.50,14.70x,0.00%,11.77%,0.00%,0.90%
HRT,HireRight Holdings Corp,Professional & Commercial Services  ,$942.692M,11.86,8.11x,0.00%,28.30%,0.00%,0.00%
HTHIY,"Hitachi, Ltd. (ADR)",Consumer Goods Conglomerates,$30.713B,103.49,15.22x,-6.12%,9.99%,-10.10%,1.94%
HNI,HNI Corp,Professional & Commercial Services  ,$1.135B,27.45,10.01x,7.74%,18.75%,25.15%,4.66%
HCMLY,Holcim AG (ADR),Construction Materials,$31.551B,10.25,11.13x,0.00%,9.55%,0.00%,4.31%
HEP,"Holly Energy Partners, L.P.",Oil & Gas Related Equipment and Services,$2.262B,17.89,11.03x,10.92%,30.42%,-14.78%,7.83%
HOLI,Hollysys Automation Technologies Ltd,"Machinery, Equipment & Components",$981.305M,16.21,11.08x,0.00%,7.95%,0.00%,1.97%
HOLX,"Hologic, Inc.",Healthcare Equipment & Supplies,$18.541B,75.42,14.74x,-21.43%,28.63%,-42.36%,0.00%
HBCP,"Home Bancorp, Inc.",Banking Services,$338.320M,40.85,10.03x,20.64%,10.15%,-28.28%,2.35%
HOMB,Home Bancshares Inc,Banking Services,$4.673B,22.91,15.81x,30.27%,8.49%,-19.59%,2.88%
HD,Home Depot Inc,Other Specialty Retailers,$325.487B,319.36,19.25x,4.21%,"1,465.50%",7.28%,2.38%
HMST,HomeStreet Inc,Banking Services,$494.849M,26.43,5.92x,-17.05%,13.85%,-30.59%,5.30%
HTBI,Hometrust Bancshares Inc,Banking Services,$383.667M,24.55,11.19x,25.82%,8.58%,29.73%,1.63%
HMC,Honda Motor Co Ltd (ADR),Automobiles & Auto Parts,$44.542B,22.96,7.93x,0.00%,6.22%,0.00%,4.09%
HON,Honeywell International Inc,Consumer Goods Conglomerates,$144.616B,215.10,27.51x,3.31%,30.24%,8.56%,1.92%
HKTVY,Hong Kong Technology Venture Co Ltd,Software & IT Services,$691.252M,14.98,126.43x,0.00%,2.12%,0.00%,1.36%
HOPE,Hope Bancorp Inc,Banking Services,$1.539B,12.88,7.12x,14.62%,10.77%,10.24%,4.35%
HMN,Horace Mann Educators Corporation,Insurance,$1.554B,38.00,28.37x,6.38%,3.93%,-48.75%,3.37%
HBNC,Horizon Bancorp Inc,Banking Services,$665.176M,15.14,7.06x,6.66%,13.84%,7.46%,4.23%
HRZN,Horizon Technology Finance Corp,Collective Investments ,$300.707M,11.39,13.94x,31.81%,7.11%,2.84%,11.59%
HZNP,Horizon Therapeutics PLC,Pharmaceuticals,$25.615B,113.03,46.48x,11.74%,12.11%,2.81%,0.00%
HRL,Hormel Foods Corp,Food & Tobacco,$24.813B,45.41,24.96x,1.61%,13.79%,3.85%,2.42%
HST,Host Hotels and Resorts Inc,Residential & Commercial REITs,$11.355B,15.88,14.12x,69.75%,12.45%,0.00%,3.02%
TWNK,Hostess Brands Inc,Food & Tobacco,$3.066B,22.90,18.90x,18.36%,9.66%,10.23%,0.00%
HLI,Houlihan Lokey Inc,Investment Banking & Investment Services,$4.583B,91.93,17.00x,-12.77%,25.68%,-29.01%,2.31%
HHC,Howard Hughes Corp,Real Estate Operations,$3.758B,75.30,15.49x,196.53%,6.85%,243.69%,0.00%
HWM,Howmet Aerospace Inc,Aerospace & Defense,$16.155B,39.05,38.22x,13.02%,12.84%,38.61%,0.41%
HOCPY,Hoya Corp  (ADR),Healthcare Equipment & Supplies,$35.389B,99.14,0.00x,0.00%,0.00%,0.00%,0.83%
HPQ,HP Inc,"Computers, Phones & Household Electronics",$26.213B,26.69,8.86x,-9.15%,0.00%,-18.63%,3.93%
HSBC,HSBC Holdings plc (ADR),Banking Services,$123.205B,30.85,10.19x,0.00%,6.79%,0.00%,4.38%
HUBG,Hub Group Inc,Freight & Logistics Services,$2.655B,81.32,7.61x,28.86%,26.11%,109.09%,0.00%
HUBB,Hubbell Incorporated,"Machinery, Equipment & Components",$12.865B,239.54,27.62x,18.52%,20.94%,29.32%,1.87%
HUBS,HubSpot Inc,Software & IT Services,$14.316B,294.71,--,31.24%,-13.05%,36.81%,0.00%
HIII,Hudson Executive Investment Corp III,Holding Companies,$604.800M,10.08,46.17x,0.00%,2.87%,0.00%,0.00%
HPP,Hudson Pacific Properties Inc,Residential & Commercial REITs,$1.361B,9.66,--,14.06%,-1.16%,0.00%,10.35%
HDSN,"Hudson Technologies, Inc.","Machinery, Equipment & Components",$451.211M,10.01,4.49x,63.53%,88.33%,214.49%,0.00%
BOSSY,Hugo Boss AG - ADR,Textiles & Apparel,$3.928B,11.16,0.00x,0.00%,0.00%,0.00%,1.34%
HUM,Humana Inc,Healthcare Providers & Services,$64.327B,508.11,23.05x,11.51%,17.27%,21.41%,0.62%
HBAN,Huntington Bancshares Incorporated,Banking Services,$20.198B,14.00,10.88x,20.60%,11.71%,58.89%,4.43%
HII,Huntington Ingalls Industries Inc,Aerospace & Defense,$9.194B,230.41,16.05x,10.82%,22.00%,8.67%,2.15%
HUN,Huntsman Corporation,Chemicals,$5.262B,27.39,5.12x,-1.42%,30.51%,-4.24%,3.10%
HURN,Huron Consulting Group Inc,Professional & Commercial Services  ,$1.451B,72.81,17.20x,21.59%,16.43%,26.82%,0.00%
HSQVY,Husqvarna AB (ADR),Household Goods,$3.235B,13.88,0.00x,0.00%,0.00%,0.00%,4.05%
HUTCY,Hutchison Telecmmnctns HK Hld Ltd - ADR,Telecommunications Services,$734.109M,2.29,0.00x,0.00%,0.00%,0.00%,6.26%
HCM,HUTCHMED (China) Ltd (ADR),Pharmaceuticals,$2.542B,14.70,--,0.00%,-28.59%,0.00%,0.00%
HUYA,HUYA Inc - ADR,Software & IT Services,$334.767M,3.84,--,0.00%,-2.46%,0.00%,0.00%
H,Hyatt Hotels Corporation,Hotels & Entertainment Services,$4.713B,91.90,78.76x,91.42%,3.76%,0.00%,0.00%
HYLN,Hyliion Holdings Corp,Automobiles & Auto Parts,$449.285M,2.50,--,0.00%,-29.72%,0.00%,0.00%
HYSNY,Hysan Development Company Limited (ADR),Real Estate Operations,$3.168B,6.17,26.62x,0.00%,1.13%,0.00%,5.96%
HY,Hyster-Yale Materials Handling Inc,"Machinery, Equipment & Components",$362.857M,27.60,--,12.83%,-62.70%,50.83%,4.67%
HYW,Hywin Holdings Ltd - ADR,Investment Banking & Investment Services,$356.160M,6.36,5.53x,0.00%,27.93%,0.00%,0.00%
HYZN,Hyzon Motors Inc,"Machinery, Equipment & Components",$384.247M,1.55,--,0.00%,-8.08%,0.00%,0.00%
IIIV,i3 Verticals Inc,Professional & Commercial Services  ,$568.535M,24.72,--,16.31%,-8.08%,6.76%,0.00%
IAA,IAA Inc,Other Specialty Retailers,$5.134B,38.38,17.93x,0.00%,75.83%,0.00%,0.00%
IAC,IAC Inc,Software & IT Services,$5.208B,43.57,--,42.23%,-17.63%,0.00%,0.00%
IAG,Iamgold Corp,Metals & Mining,$924.528M,2.35,--,15.11%,-12.56%,0.00%,0.00%
IBDRY,Iberdrola SA (ADR),Electrical Utilities & IPPs,$73.657B,46.31,0.00x,0.00%,0.00%,0.00%,1.64%
IBEX,Ibex Ltd,Software & IT Services,$488.309M,26.54,20.38x,11.69%,25.99%,15.15%,0.00%
IEP,Icahn Enterprises LP,Oil & Gas,$14.867B,50.67,--,14.68%,-8.84%,0.00%,15.79%
ICFI,ICF International Inc,Professional & Commercial Services  ,$1.871B,99.31,28.04x,14.40%,8.28%,20.12%,0.56%
ICHR,Ichor Holdings Ltd,Semiconductors & Semiconductor Equipment ,$815.413M,28.31,11.19x,19.72%,13.99%,13.06%,0.00%
IBN,ICICI Bank Ltd (ADR),Banking Services,$13.292B,21.97,21.77x,-37.38%,16.30%,13.68%,0.57%
ICLR,ICON PLC,Biotechnology & Medical Research,$10.423B,197.45,35.11x,41.35%,5.73%,21.04%,0.00%
ICNC,Iconic Sports Acquisition Corp,Holding Companies,$356.385M,10.33,14.69x,0.00%,16.74%,0.00%,0.00%
ICVX,Icosavax Inc,Biotechnology & Medical Research,$345.933M,8.67,--,0.00%,-33.32%,0.00%,0.00%
ICUI,ICU Medical Inc,Healthcare Equipment & Supplies,$3.805B,158.66,--,76.06%,-2.16%,-12.18%,0.00%
IDA,IDACORP Inc,Electrical Utilities & IPPs,$5.471B,108.53,22.03x,2.13%,9.17%,5.57%,2.91%
IDYA,Ideaya Biosciences Inc,Biotechnology & Medical Research,$806.872M,16.77,--,0.00%,-15.35%,0.00%,0.00%
IEX,IDEX Corporation,"Machinery, Equipment & Components",$17.498B,232.00,30.68x,13.30%,20.82%,17.61%,1.03%
IDXX,"IDEXX Laboratories, Inc.",Healthcare Equipment & Supplies,$34.622B,418.06,53.17x,4.26%,108.82%,-7.33%,0.00%
IDT,IDT Corporation,Telecommunications Services,$686.456M,28.68,18.43x,0.00%,23.99%,0.00%,0.00%
IESC,IES Holdings Inc,Construction & Engineering,$685.021M,33.87,20.22x,0.00%,9.83%,0.00%,0.00%
IGMS,IGM Biosciences Inc,Biotechnology & Medical Research,$543.734M,18.66,--,0.00%,-71.42%,-7.51%,0.00%
IHRT,iHeartMedia Inc,Media & Publishing,$815.805M,6.70,--,0.00%,-33.92%,0.00%,0.00%
IHS^G16,IHS Holding Ltd,Telecommunications Services,$2.003B,6.11,--,0.00%,-22.15%,0.00%,0.00%
IH,iHuman Inc - ADR,Software & IT Services,$337.509M,2.76,15.69x,0.00%,9.76%,0.00%,0.00%
ITW,Illinois Tool Works Inc.,Consumer Goods Conglomerates,$68.291B,222.31,25.38x,9.50%,84.12%,10.20%,2.36%
ILMN,"Illumina, Inc.",Healthcare Equipment & Supplies,$31.060B,197.46,--,0.96%,-47.95%,-58.98%,0.00%
IMGO,Imago Biosciences Inc,Biotechnology & Medical Research,$1.215B,35.92,--,0.00%,-30.74%,0.00%,0.00%
IMAX,Imax Corp (USA),Media & Publishing,$777.465M,13.89,--,17.68%,-5.02%,0.00%,0.00%
IMTX,Immatics NV,Biotechnology & Medical Research,$569.326M,9.05,15.52x,0.00%,45.83%,0.00%,0.00%
IBRX,Immunitybio Inc,Biotechnology & Medical Research,$2.342B,5.85,--,-68.31%,0.00%,-12.36%,0.00%
IMCR,Immunocore Holdings PLC - ADR,Biotechnology & Medical Research,$2.592B,57.22,--,0.00%,-22.31%,0.00%,0.00%
IMGN,"ImmunoGen, Inc.",Biotechnology & Medical Research,$1.040B,4.71,--,25.98%,-157.66%,-38.24%,0.00%
IMVT,Immunovant Inc,Biotechnology & Medical Research,$2.166B,16.77,--,0.00%,-37.95%,0.00%,0.00%
IMPUY,Impala Platinum Holdings Ltd - ADR,Metals & Mining,$10.472B,12.28,0.00x,0.00%,0.00%,0.00%,7.63%
IMBBY,Imperial Brands PLC (ADR),Food & Tobacco,$18.371B,25.20,12.65x,0.00%,25.71%,0.00%,6.78%
IMO,Imperial Oil Ltd (USA),Oil & Gas,$30.541B,47.97,6.68x,60.50%,29.53%,199.18%,2.73%
PI,IMPINJ Inc,Semiconductors & Semiconductor Equipment ,$3.036B,117.15,--,33.37%,-96.78%,260.00%,0.00%
NARI,Inari Medical Inc,Healthcare Equipment & Supplies,$3.670B,68.40,--,35.29%,-6.89%,0.00%,0.00%
INCY,Incyte Corporation,Pharmaceuticals,$17.914B,80.52,20.46x,11.66%,23.76%,-0.72%,0.00%
ACQR,Independence Holdings Corp,Holding Companies,$499.133M,10.07,32.63x,0.00%,4.07%,0.00%,0.00%
IRT,Independence Realty Trust Inc,Residential & Commercial REITs,$3.800B,16.96,28.21x,0.00%,5.17%,0.00%,3.30%
INDB,Independent Bank Corp (Massachusetts),Banking Services,$3.866B,84.70,20.89x,47.85%,8.24%,7.06%,2.60%
IBCP,Independent Bank Corp (Michigan),Banking Services,$497.555M,23.62,8.30x,-13.55%,16.60%,-0.69%,3.73%
IBTX,Independent Bank Group Inc,Banking Services,$2.487B,60.37,12.15x,5.84%,8.46%,-1.92%,2.52%
IFN,India Fund Inc,Collective Investments ,$573.192M,15.24,--,0.00%,-13.44%,0.00%,13.39%
INDT,Indus Realty Trust Inc,Residential & Commercial REITs,$649.638M,63.74,29.20x,0.00%,7.56%,0.00%,1.13%
IDCBY,Industrial & Cmrcl Bnk f China Ltd (ADR),Banking Services,$42.616B,9.82,0.00x,0.00%,0.00%,0.00%,8.90%
IBA,"Industrias Bachoco, S.A.B. de C.V. (ADR)",Food & Tobacco,$2.487B,49.73,9.53x,23.99%,10.74%,36.36%,1.97%
IFNNY,Infineon Technologies AG (ADR),Semiconductors & Semiconductor Equipment ,$41.123B,31.49,17.93x,7.98%,16.38%,12.21%,2.02%
INFN,Infinera Corp.,Communications & Networking,$1.481B,6.74,--,6.60%,-62.74%,0.00%,0.00%
IPAX,Inflection Point Acquisition Corp,Holding Companies,$329.420M,9.99,--,0.00%,-0.40%,0.00%,0.00%
INFA,Informatica Inc,Software & IT Services,$3.831B,16.16,--,0.00%,-7.50%,0.00%,0.00%
INFY,Infosys Ltd ADR,Software & IT Services,$77.178B,18.22,27.73x,12.34%,30.52%,2.86%,2.22%
ING,ING Groep NV (ADR),Banking Services,$45.836B,12.30,12.41x,0.00%,6.61%,0.00%,11.39%
IR,Ingersoll Rand Inc,"Machinery, Equipment & Components",$21.348B,52.72,39.41x,12.94%,6.32%,8.61%,0.15%
NGVT,Ingevity Corp,Chemicals,$2.677B,71.63,12.33x,20.52%,35.25%,21.99%,0.00%
IMKTA,"Ingles Markets, Incorporated",Food & Drug Retailing ,$1.430B,99.45,6.93x,0.00%,24.32%,0.00%,0.66%
INGR,Ingredion Inc,Food & Tobacco,$6.493B,99.05,14.96x,15.39%,14.47%,7.95%,2.87%
INBX,Inhibrx Inc,Biotechnology & Medical Research,$1.164B,26.72,--,0.00%,0.00%,0.00%,0.00%
INMD,Inmode Ltd,Healthcare Equipment & Supplies,$2.797B,37.01,17.92x,0.00%,39.56%,0.00%,0.00%
IOSP,Innospec Inc.,Chemicals,$2.605B,105.20,19.96x,30.64%,12.62%,30.00%,1.22%
INNV,InnovAge Holding Corp,Healthcare Providers & Services,$912.386M,6.73,--,-2.52%,-8.21%,-520.00%,0.00%
IIPR,Innovative Industrial Properties Inc,Residential & Commercial REITs,$2.932B,104.83,20.15x,34.95%,8.08%,18.68%,6.87%
INVA,Innoviva Inc,Pharmaceuticals,$926.718M,13.28,4.16x,-13.95%,56.04%,31.71%,0.00%
INVZ,Innoviz Technologies Ltd,Semiconductors & Semiconductor Equipment ,$506.302M,3.90,--,0.00%,-46.55%,0.00%,0.00%
INGN,Inogen Inc,Healthcare Equipment & Supplies,$458.878M,20.02,--,5.75%,-13.49%,-532.14%,0.00%
INO,Inovio Pharmaceuticals Inc,Biotechnology & Medical Research,$416.647M,1.67,--,499.49%,-92.27%,23.45%,0.00%
NSIT,"Insight Enterprises, Inc.","Computers, Phones & Household Electronics",$3.386B,97.22,13.47x,11.70%,17.28%,22.68%,0.00%
INSM,Insmed Incorporated,Biotechnology & Medical Research,$2.695B,19.89,--,36.45%,-182.95%,4.90%,0.00%
NSP,Insperity Inc,Professional & Commercial Services  ,$4.385B,115.59,29.60x,19.74%,191.53%,34.18%,1.80%
INSP,Inspire Medical Systems Inc,Healthcare Equipment & Supplies,$7.505B,259.75,--,66.02%,-14.60%,-55.84%,0.00%
INSE,Inspired Entertainment Inc,Software & IT Services,$326.183M,12.61,20.66x,31.58%,0.00%,0.00%,0.00%
IBP,Installed Building Products Inc,Construction & Engineering,$2.526B,88.31,13.93x,35.18%,43.30%,59.56%,1.43%
IIIN,Insteel Industries Inc,Metals & Mining,$533.308M,27.38,4.30x,-6.89%,36.14%,-41.92%,0.44%
INST,Instructure Holdings Inc,Software & IT Services,$3.450B,24.21,--,0.00%,-3.84%,0.00%,0.00%
PODD,Insulet Corporation,Healthcare Equipment & Supplies,$20.937B,301.47,1366.84x,15.34%,3.63%,-54.17%,0.00%
INTA,Intapp Inc,Software & IT Services,$1.556B,24.69,--,22.86%,-36.68%,66.67%,0.00%
ITGR,Integer Holdings Corp,Healthcare Equipment & Supplies,$2.273B,68.62,33.49x,11.39%,5.08%,-6.86%,0.00%
IART,Integra Lifesciences Holdings Corp,Healthcare Equipment & Supplies,$4.705B,56.34,27.43x,0.98%,10.31%,3.77%,0.00%
IAS,Integral Ad Science Holding Corp,Media & Publishing,$1.344B,8.63,--,0.00%,-0.12%,0.00%,0.00%
INTC,Intel Corporation,Semiconductors & Semiconductor Equipment ,$110.727B,26.83,8.28x,-14.96%,14.00%,-64.17%,5.44%
NTLA,Intellia Therapeutics Inc,Biotechnology & Medical Research,$2.849B,36.21,--,57.06%,-45.76%,-61.11%,0.00%
INTR,Inter & Co Inc,Banking Services,$559.720M,1.97,--,0.00%,-2.68%,0.00%,0.00%
IPAR,"Inter Parfums, Inc.",Personal &Household Products & Services,$3.081B,96.67,29.98x,16.57%,17.77%,23.64%,2.07%
IBKR,"Interactive Brokers Group, Inc.",Investment Banking & Investment Services,$7.420B,72.13,23.27x,0.00%,12.42%,0.00%,0.55%
ICPT,Intercept Pharmaceuticals Inc,Biotechnology & Medical Research,$556.230M,13.43,--,-11.79%,0.00%,0.00%,0.00%
ICE,Intercontinental Exchange Inc,Investment Banking & Investment Services,$57.280B,102.55,22.71x,3.23%,11.60%,3.88%,1.48%
IHG,InterContinental Hotels Group PLC (ADR),Hotels & Entertainment Services,$10.263B,58.41,24.83x,0.00%,0.00%,0.00%,2.22%
IFS,Intercorp Financial Services Inc,Banking Services,$2.654B,22.99,5.61x,0.00%,15.84%,0.00%,7.61%
IDCC,InterDigital Inc,Communications & Networking,$1.469B,49.51,18.30x,4.21%,11.71%,45.20%,2.83%
TILE,"Interface, Inc.",Household Goods,$570.066M,9.80,8.87x,8.38%,19.84%,-1.63%,0.41%
IBOC,International Bancshares Corp,Banking Services,$2.854B,45.95,11.52x,0.00%,11.83%,0.00%,2.61%
